id;text;sentiment
7,15601E+17;@IndosatCare iya nomernya masih itu. Mksh.;Positif
7,156E+17;@IndosatCare udah di DM yah;Positif
7,04875E+17;@Telkomsel aku pakai loop kak :);Positif
7,04875E+17;@rikawidjaya04 Terima kasih juga Kak Rika atas kepercayaannya menggunakan Indosat Ooredoo. Semoga hari ini menyenangkan. Have a nice day :);Positif
7,13428E+17;@ndusell saya simpati tan;Positif
7,2018E+17;@telkomsel terima kasih penjelasannya mimin;Positif
7,13428E+17;@indosatcare terima kasih ya, untuk informasinya.;Positif
7,20181E+17;@Telkomsel yess yess;Positif
7,08416E+17;@Telkomsel ok thanks;Positif
7,27742E+17;thanks @IndosatCare koneksi internet sudah normal, biarpun pulsa yang kepotong tidak balik lagi;Positif
7,11885E+17;@Telkomsel @Yoppy_Efge terimakasih min;Positif
7,11884E+17;@Telkomsel mantaf infonya mas doni n mas rifco...terima kasih...;Positif
7,11884E+17;@Telkomsel terima kasih informasi nya kak :);Positif
7,22987E+17;@Telkomsel makasihhh minnn,kpn2 boleh nnya lgi?????;Positif
7,03123E+17;@Telkomsel tq mba Diah;Positif
7,03124E+17;@IndosatCare kartu 4G nya udah diterima, mksh min https://t.co/BwoEHDQSnM;Positif
7,25387E+17;"@IndosatCare ok, jika kebijakan dari indosat seperti itu, mohon sosialisasi untuk pengguna yg belum suport 4G dan &amp; yg sudah 4G.";Positif
7,25387E+17;@Telkomsel terima kasih banyak, mas joni. Really helpfull;Positif
7,13743E+17;@Telkomsel baik, terima kasih atas informasi yg sudah dijelaskan, selamat malam :);Positif
7,13743E+17;@Telkomsel okee mimin, makasih yah infonya 😊;Positif
7,047E+17;Super sekali adminya wkwk @IndosatCare;Positif
7,15387E+17;@Telkomsel ok, makasi Mbak Naila ☺️;Positif
7,04701E+17;@IndosatCare kondisi sinyal bagus min H+ malahan;Positif
7,18989E+17;@Telkomsel iya,makasih;Positif
7,24616E+17;Min ane mau minta maaf @Telkomsel ternyata provider telkomsel yg paling mantep dimana aja. Ane ganti2 kartu malah makin parah #CintaTsel;Positif
7,24617E+17;@IndosatCare sudah bisa min. Thx;Positif
7,24617E+17;@Telkomsel sudah kok min,trima kasih;Positif
7,24616E+17;@Telkomsel thank you for your help.;Positif
7,24616E+17;@IndosatCare ya bner Admin..lebih luwes.praktis dan akurat bingit...saya suka.ditmbah lg anti lemot..pas bget wat slncar di internet.....;Positif
7,0614E+17;@IndosatCare ok tq yaa;Positif
7,06141E+17;@IndosatCare oh, begitu.. terima kasih u/ infonya. N semoga secepatnya bisa aktif kmbali.;Positif
7,06141E+17;"@Telkomsel He2. Kedaton msk Kota Bandarlampung, tp klw blm tercover ya ga apa2. Thanks a lot bantuanny. Good night &amp; slmt istirahat ya all.";Positif
7,23779E+17;@telkomsel mksih.. :);Positif
7,02859E+17;@Telkomsel terima kasih ya, skrg sudah 4G ????;Positif
7,17276E+17;@IndosatCare Ok sudah min, thanks info..Indosat emang yahut untuk internet 4g;Positif
7,17277E+17;@Telkomsel baiklah, terimakasih min ????;Positif
7,14976E+17;@Telkomsel oke min thankyou infonya ??;Positif
7,25292E+17;@IndosatCare oh ya... Makasih infonya yuaaa;Positif
7,19423E+17;@Telkomsel Keren Ditunggu Live Stream nya :D;Positif
7,02442E+17;@Telkomsel baik. Mohon agar bisa cepat ditindaklanjuti :);Positif
7,02443E+17;@IndosatCare makasih min ????;Positif
7,13036E+17;@IndosatCare oke thanks;Positif
7,14782E+17;@Telkomsel terima kasih;Positif
7,14098E+17;@Telkomsel terimakasih infonya (y);Positif
7,05751E+17;@Telkomsel oh gitu, oke makasih banyak;Positif
7,05751E+17;@Telkomsel , Terima kasih atas respon DM nya, Oya klo yg buka 24jam cuma grapari yg di Dago aja ya ? Yg di jln banda hr sabtu buka ga ya ?;Positif
7,18704E+17;@IndosatCare okok secepat nya. Hatur nuhun;Positif
7,30382E+17;@IndosatCare thank you. I had been send an email. I hope I will get a response as soon as possible .-Best Regards;Positif
7,30381E+17;@indosatcare Oia,, thanks infonya ????;Positif
7,30382E+17;Retweeted Indosat Ooredoo Care (@IndosatCare):@suara_pamekasan OK kak, terima kasih untuk info yang diberikan. Sukses selalu ya ^Adam;Positif
7,26324E+17;@Telkomsel setelah dikonf pihak telkomsel dan ditanggapi serius skrg signal back to the high performance????;Positif
7,11126E+17;@Telkomsel terima kasih :D;Positif
7,11126E+17;@Telkomsel oke terima kasih atas informasinya.. selamat sore...;Positif
