"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@ardifinta Hai, Kak Ardi. Apakah ada yang bisa mimin bantu terkait produk dan layanan Telkomsel? :) -Okta",FALSE,0,"ardifinta",2019-10-19 14:39:22,FALSE,"1185560808920535040","1185566112924061696","1185559746884984834","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"2","@ridwane03 Hai, Kak Ridwane. Mohon maaf terkait keluhan paket mahal, boleh infoin nomor yang digunakan terlebih dah… https://t.co/enzC8TTM7E",FALSE,0,"ridwane03",2019-10-19 14:39:22,TRUE,"1185558430611693568","1185566111284092928","957421617528762368","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"3","RT @ArditErwandha: bang @Telkomsel kalau lagi ada masalah cerita aja bang ke kita-kita, jangan ngambek gini jaringannya, ingat kunci keberh…",FALSE,0,NA,2019-10-19 14:39:09,FALSE,NA,"1185566055839612928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","radikarani_",82,TRUE,FALSE,NA,NA
"4","RT @ArditErwandha: bang @Telkomsel kalau lagi ada masalah cerita aja bang ke kita-kita, jangan ngambek gini jaringannya, ingat kunci keberh…",FALSE,0,NA,2019-10-19 14:39:08,FALSE,NA,"1185566052396068871",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JusKangkung",82,TRUE,FALSE,NA,NA
"5","Jaringan telkomsel gue kenapa ni -_-",FALSE,0,NA,2019-10-19 14:38:51,FALSE,NA,"1185565982019870720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bayuan36",0,FALSE,FALSE,NA,NA
"6","@sofieedewi @Telkomsel Mungkin paketannya kurang murah mbak",FALSE,0,"sofieedewi",2019-10-19 14:38:48,FALSE,"1185565853225553921","1185565969759887360","192080885","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","qoqo87",0,FALSE,FALSE,NA,NA
"7","Ini telkomsel lagi gangguan apa gimana sih 😭😭😭
Sinyalnya tolongggggggg :(",FALSE,0,NA,2019-10-19 14:38:44,FALSE,NA,"1185565952034820096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ainqprincess",0,FALSE,FALSE,NA,NA
"8","@I_Underline Waktu kejadian,
5. Capture speed test melalui aplikasi ookla. Makasih :) -Nugi https://t.co/TQOtR8EsXb  (2/2)",FALSE,0,"I_Underline",2019-10-19 14:38:41,FALSE,"1185560869775691776","1185565940647219200","1185560202977792001","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"9","@I_Underline Hai, Kak Ihlas. Mohon maaf jadi gak nyaman. Mengenai kendala akses internet lambat, silakan infokan da… https://t.co/6ciNXUBSk4",FALSE,0,"I_Underline",2019-10-19 14:38:41,TRUE,"1185560869775691776","1185565939112140800","1185560202977792001","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"10","@Misbach0104 @ArditErwandha @Telkomsel Motornya beat ga?",FALSE,0,"Misbach0104",2019-10-19 14:38:40,FALSE,"1185562828234559490","1185565937426034688","1061800716052791296","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denstermaid",0,FALSE,FALSE,NA,NA
"11","@iputy__ @ArditErwandha @Telkomsel Motornya beat ga?",FALSE,0,"iputy__",2019-10-19 14:38:34,FALSE,"1185562766662238214","1185565912235032576","1469698220","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denstermaid",0,FALSE,FALSE,NA,NA
"12","aku pakai youtube lancar jaya, giliran akses IG, Webtoon, kompas, dll kok malah loading lama ya? Mohon pencerahannya min @Telkomsel",FALSE,0,NA,2019-10-19 14:38:34,FALSE,NA,"1185565911865937921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SintyaGarnish",0,FALSE,FALSE,NA,NA
"13","Lelet nya lumayan lumanyun juga @Telkomsel",FALSE,0,NA,2019-10-19 14:38:24,FALSE,NA,"1185565866936549376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SegoTiwuL",0,FALSE,FALSE,NA,NA
"14","@Telkomsel ko ngga ada tanggapan ya? Saya sudah komplain dari kemarin tp tidak ada respon. Tolong yaaa simpati knp… https://t.co/AJVBiOQ3Ot",FALSE,0,"Telkomsel",2019-10-19 14:38:20,TRUE,NA,"1185565853225553921","255409050","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sofieedewi",0,FALSE,FALSE,NA,NA
